step,row,col,z,cumlen
0,18,29,25,0
1,18,28,25,1
2,18,27,24,2.41421356237309
3,18,26,23,3.82842712474619
4,18,25,22,5.24264068711928
5,18,24,22,6.24264068711928
6,18,23,22,7.24264068711928
7,18,22,22,8.24264068711928
8,18,21,22,9.24264068711928
9,18,20,22,10.2426406871193
10,18,19,22,11.2426406871193
11,18,18,22,12.2426406871193
12,18,17,22,13.2426406871193
13,18,16,22,14.2426406871193
14,18,15,22,15.2426406871193
15,18,14,22,16.2426406871193
16,18,13,22,17.2426406871193
17,18,12,22,18.2426406871193
18,18,11,21,19.6568542494924
19,18,10,20,21.0710678118655
20,18,9,19,22.4852813742386
21,18,8,18,23.8994949366117
22,18,7,17,25.3137084989848
23,17,6,16,27.0457593065536
24,16,5,15,28.7778101141225
25,15,6,14,30.5098609216914
26,14,6,13,31.9240744840645
27,13,7,12,33.6561252916334
28,12,7,11,35.0703388540065
29,11,8,10,36.8023896615753
30,10,8,9,38.2166032239484
31,9,8,8,39.6308167863215
32,8,7,7,41.3628675938904
33,7,6,6,43.0949184014593
34,6,5,5,44.8269692090281
35,5,4,4,46.559020016597
36,4,3,3,48.2910708241659
37,3,2,2,50.0231216317348
