$submission_id;$created;Participant number;What is your gender;How old are you?;What is your dominant hand?;How experienced are you with robotic systems?;"Did you experience delays between your actions and the robot&#39;s movements?";How difficult was it to perform the task?;I felt like I was controlling the movement of the robot;It felt like the robot was part of my body;"Did you experience delays between your actions and the robot&#39;s movements?";How difficult was it to perform the task?;I felt like I was controlling the movement of the robot;It felt like the robot was part of my body;"Did you experience delays between your actions and the robot&#39;s movements?";How difficult was it to perform the task?;I felt like I was controlling the movement of the robot;It felt like the robot was part of my body;"Did you experience delays between your actions and the robot&#39;s movements?";How difficult was it to perform the task?;I felt like I was controlling the movement of the robot;It felt like the robot was part of my body;"Did you experience delays between your actions and the robot&#39;s movements?";How difficult was it to perform the task?;I felt like I was controlling the movement of the robot;It felt like the robot was part of my body;"Did you experience delays between your actions and the robot&#39;s movements?";How difficult was it to perform the task?;I felt like I was controlling the movement of the robot;It felt like the robot was part of my body;"Did you experience delays between your actions and the robot&#39;s movements?";How difficult was it to perform the task?;I felt like I was controlling the movement of the robot;It felt like the robot was part of my body;"Did you experience delays between your actions and the robot&#39;s movements?";How difficult was it to perform the task?;I felt like I was controlling the movement of the robot;It felt like the robot was part of my body;"Did you experience delays between your actions and the robot&#39;s movements?";How difficult was it to perform the task?;I felt like I was controlling the movement of the robot;It felt like the robot was part of my body;"Did you experience delays between your actions and the robot&#39;s movements?";How difficult was it to perform the task?;I felt like I was controlling the movement of the robot;It felt like the robot was part of my body;$answer_time_ms
38973009;2025-11-05;1;Male;24;Left hand;1;2;2;4;1;2;1;4;1;2;2;4;1;2;2;4;1;2;4;3;1;3;3;3;1;3;3;3;1;2;2;3;1;2;3;2;1;3;3;3;1;3801195
38974447;2025-11-05;2;Female;22;Right hand;1;2;4;4;3;2;3;5;3;2;2;5;4;1;2;5;4;1;2;5;4;2;3;4;2;1;2;5;3;2;2;5;3;2;2;5;4;3;2;5;3;2302137
38979720;2025-11-05;3;Other;24;Right hand;1;5;2;4;1;4;1;4;1;3;1;5;1;4;2;3;1;2;1;5;2;3;3;2;1;2;3;3;1;3;3;4;1;2;2;4;1;5;2;4;1;7492108
38981360;2025-11-05;4;Male;26;Left hand;2;4;4;3;3;2;2;4;4;3;3;4;3;1;1;5;4;3;2;3;3;3;3;3;3;2;2;4;4;4;4;3;3;3;2;4;3;3;2;4;3;2483580
38984806;2025-11-05;5;Male;23;Right hand;1;1;4;5;1;1;1;5;1;1;1;5;2;1;1;5;2;1;1;5;2;1;4;1;1;1;3;4;1;1;4;3;1;1;5;4;1;2;3;3;1;4432959
38985668;2025-11-05;6;Male;22;Right hand;1;1;3;3;1;1;2;4;2;3;3;2;1;2;3;3;3;2;2;3;2;1;2;3;3;2;3;3;3;2;2;3;2;3;3;2;2;2;2;3;4;2625527
38993258;2025-11-06;7;Female;24;Left hand;1;3;4;4;2;3;4;3;2;2;2;4;4;4;3;4;3;3;3;3;3;2;3;3;3;3;4;3;2;2;4;4;3;2;3;4;3;2;3;4;3;4018754
38994892;2025-11-06;8;Male;22;Right hand;1;2;2;4;3;2;1;5;3;2;4;3;3;3;2;4;3;5;4;2;2;1;3;5;3;1;3;5;3;1;3;2;3;3;3;2;3;3;3;2;3;3041717
38997726;2025-11-06;9;Male;24;Right hand;1;2;2;4;4;2;2;4;4;2;3;4;3;1;1;5;5;3;1;4;4;3;1;5;4;3;1;5;4;3;2;4;3;4;2;4;3;2;1;4;2;5669916
38999217;2025-11-06;10;Female;26;Right hand;1;2;3;5;2;2;2;4;4;3;3;3;3;2;2;4;4;4;3;3;2;2;2;2;3;2;2;5;4;4;4;4;4;3;3;2;2;4;3;3;2;3169242
39012835;2025-11-06;11;Male;23;Right hand;1;3;4;2;1;1;2;5;4;2;1;5;5;1;1;5;5;2;3;4;3;3;4;3;2;3;3;3;2;5;3;2;1;3;2;4;3;1;2;4;3;3131046
39015345;2025-11-06;12;Male;24;Right hand;1;3;2;4;3;2;2;4;4;3;2;3;3;4;3;3;2;3;2;4;4;3;3;4;3;5;2;3;2;2;2;5;4;3;2;3;3;5;4;2;2;1872476
39030804;2025-11-07;13;Male;23;Right hand;1;1;3;4;4;1;3;4;4;1;3;4;4;2;4;3;2;4;4;2;2;2;2;3;2;4;4;3;2;2;3;4;3;2;4;3;3;2;3;3;2;3770753
39032294;2025-11-07;14;Male;24;Right hand;1;4;3;5;3;4;2;4;3;4;2;5;3;5;3;4;3;2;2;5;5;2;1;4;4;2;1;5;5;4;3;5;3;2;2;4;4;1;1;5;4;2081855
39036857;2025-11-07;15;Male;31;Right hand;1;1;3;4;3;1;3;5;3;2;3;4;3;2;3;4;4;2;2;5;4;1;2;5;4;1;2;5;4;1;1;5;4;2;1;5;3;3;2;5;4;8195395
39038045;2025-11-07;16;Female;24;Left hand;1;2;2;5;3;3;2;5;2;1;1;5;5;2;2;5;4;2;2;5;3;2;2;5;2;2;2;5;3;3;2;5;2;1;1;5;4;1;1;5;4;2085445
39040878;2025-11-07;17;Male;24;Right hand;1;1;3;5;2;2;2;5;2;2;2;5;2;1;1;5;4;3;3;4;1;3;4;2;1;2;4;3;1;2;4;3;2;1;4;3;2;1;2;5;3;6567367
39041688;2025-11-07;18;Male;24;Right hand;1;4;4;5;1;1;2;5;2;3;3;4;1;4;4;4;1;1;1;5;2;3;3;5;2;1;1;5;3;4;2;4;2;2;1;5;2;1;1;5;3;3088861
39061275;2025-11-10;19;Male;23;Right hand;1;3;3;4;2;3;2;4;3;4;3;4;3;2;1;5;3;3;3;3;2;2;2;4;3;3;4;4;3;2;1;4;4;3;3;4;3;3;2;4;2;3435171
39064241;2025-11-10;20;Female;24;Left hand;1;2;3;4;2;3;4;3;2;3;3;4;3;4;3;4;3;4;3;4;3;1;2;4;3;1;2;5;3;3;1;4;3;3;2;4;3;3;2;4;3;2762172
39071139;2025-11-10;21;Female;26;Right hand;1;4;3;5;3;1;1;5;4;4;4;3;2;2;3;3;2;1;3;5;4;4;4;2;1;1;3;4;3;4;3;3;2;4;3;3;2;3;4;4;3;2845424
39073080;2025-11-10;22;Female;30;Right hand;2;1;2;5;5;2;3;4;4;1;2;5;5;1;1;1;5;1;2;1;5;1;3;5;4;1;2;5;4;2;1;5;5;2;2;5;4;2;3;4;4;3261477
39076095;2025-11-10;23;Male;24;Right hand;1;2;3;4;3;3;3;4;3;1;2;5;4;1;1;4;4;2;3;2;3;2;3;4;2;2;3;4;3;2;2;4;4;3;3;3;3;3;1;3;2;2465677
39077199;2025-11-10;24;Male;24;Right hand;1;2;2;5;4;2;1;5;4;2;1;5;4;2;3;4;3;1;1;5;5;1;2;5;5;1;1;5;5;1;1;5;4;2;2;4;4;1;1;5;4;2448979
39088495;2025-11-11;25;Male;23;Right hand;1;1;2;5;3;3;3;4;3;2;2;4;4;2;2;5;3;4;2;3;2;1;1;4;4;2;2;4;4;4;3;3;2;4;3;3;2;5;4;3;1;2919998
39090554;2025-11-11;26;Male;23;Right hand;1;2;3;5;3;3;4;3;2;2;3;4;2;3;2;4;2;2;3;4;3;3;2;3;3;2;4;3;2;1;3;4;3;1;3;4;2;2;2;3;3;3359927
39094041;2025-11-11;27;Female;25;Right hand;1;4;3;5;2;3;2;4;3;4;3;4;3;2;2;5;4;5;4;2;1;2;3;5;4;3;3;4;3;4;4;3;2;4;4;3;2;3;3;3;2;7382214
39095612;2025-11-11;28;Male;25;Right hand;1;4;4;3;1;5;4;2;1;2;2;4;2;3;3;3;1;4;3;3;1;3;3;4;1;2;2;4;2;4;3;4;1;1;1;5;3;4;3;3;1;2491534
39098186;2025-11-11;29;Female;30;Right hand;1;2;3;4;2;2;2;5;3;5;3;4;2;4;3;5;2;2;2;5;4;1;1;5;4;1;2;5;2;4;3;4;1;4;3;4;2;4;3;4;2;3781721
39099402;2025-11-11;30;Male;28;Right hand;2;3;3;4;2;3;3;3;3;4;3;3;3;2;4;4;3;4;4;3;2;2;2;4;4;2;2;4;3;4;4;3;2;4;4;2;2;2;2;4;4;3320694
39110929;2025-11-12;31;Male;24;Right hand;1;4;4;2;1;4;4;2;2;3;3;3;2;3;4;3;2;2;2;4;2;3;1;4;2;5;3;2;1;4;2;4;2;2;2;4;3;2;2;4;3;8167517
39122599;2025-11-12;32;Male;23;Right hand;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4841486
39146430;2025-11-13;33;Female;25;Right hand;1;2;1;5;4;4;3;4;2;4;4;2;1;3;3;3;4;2;2;4;4;1;2;4;4;1;1;5;4;5;3;3;2;4;3;3;3;1;1;5;4;5371253
39157880;2025-11-14;34;Male;25;Right hand;3;3;3;4;4;2;2;4;4;1;2;4;5;2;2;3;4;1;2;4;5;2;1;4;5;1;1;4;5;1;1;5;5;1;1;5;5;1;2;4;5;5243246
39164574;2025-11-14;35;Male;22;Right hand;1;3;4;3;2;3;4;3;2;3;4;2;1;5;4;3;1;5;4;2;1;3;2;4;3;3;2;3;2;3;2;4;3;3;1;4;2;2;1;4;3;13276345
39198914;2025-11-17;36;Male;22;Right hand;1;2;4;4;2;1;3;5;3;1;2;5;3;2;4;4;2;1;2;5;4;3;3;4;2;2;3;5;3;1;2;5;4;1;1;5;4;2;2;5;3;5928414
39217217;2025-11-18;37;Male;24;Right hand;4;4;2;4;3;3;2;4;3;4;3;3;3;3;1;4;4;2;2;4;4;3;4;3;4;2;4;3;4;2;4;4;4;3;4;3;4;4;4;2;2;6217505
39240445;2025-11-19;38;Male;29;Right hand;3;1;2;5;4;1;2;4;4;3;2;4;4;3;2;4;4;2;2;4;4;2;1;5;4;2;1;5;4;3;2;4;3;2;1;5;4;2;1;5;4;7187526
39265427;2025-11-20;39;Male;26;Right hand;1;1;2;4;2;2;2;4;2;2;1;5;3;1;1;1;2;2;1;5;4;3;2;3;2;3;2;3;2;1;1;4;3;1;2;4;3;2;3;3;2;5553366
39286111;2025-11-21;40;Male;20;No difference / Ambidextrous;2;4;2;4;2;4;2;4;2;3;2;5;3;3;2;4;3;3;1;4;2;3;4;3;1;2;3;3;2;2;3;4;2;2;2;4;2;3;3;3;2;6905337
